"registry__name","label","reference"
"application","vnd.fsc.weblaunch","[Derek_Smith]"
"application","vnd.fujitsu.oasys","[Nobukazu_Togashi]"
"application","vnd.fujitsu.oasys2","[Nobukazu_Togashi]"
"application","vnd.fujitsu.oasys3","[Seiji_Okudaira]"
"application","vnd.fujitsu.oasysgp","[Masahiko_Sugimoto]"
"application","vnd.fujitsu.oasysprs","[Masumi_Ogita]"
"application","vnd.fujixerox.ART4","[Fumio_Tanabe]"
"application","vnd.fujixerox.ART-EX","[Fumio_Tanabe]"
"application","vnd.fujixerox.ddd","[Masanori_Onda]"
"application","vnd.fujixerox.docuworks","[Yasuo_Taguchi]"
"application","vnd.fujixerox.docuworks.binder","[Takashi_Matsumoto]"
"application","vnd.fujixerox.docuworks.container","[Kiyoshi_Tashiro]"
"application","vnd.fujixerox.HBPL","[Fumio_Tanabe]"
"application","vnd.fut-misnet","[Jann_Pruulman]"
"application","vnd.fuzzysheet","[Simon_Birtwistle]"
"application","vnd.genomatix.tuxedo","[Torben_Frey]"
"application","vnd.geo+json","[Sean_Gillies]"
"application","vnd.geocube+xml","[Francois_Pirsch] - OBSOLETED by request"
"application","vnd.geogebra.file","[GeoGebra][Yves_Kreis]"
"application","vnd.geogebra.tool","[GeoGebra][Yves_Kreis]"
"application","vnd.geometry-explorer","[Michael_Hvidsten]"
"application","vnd.geonext","[Matthias_Ehmann]"
"application","vnd.geoplan","[Christian_Mercat]"
"application","vnd.geospace","[Christian_Mercat]"
"application","vnd.globalplatform.card-content-mgt","[Gil_Bernabeu]"
"application","vnd.globalplatform.card-content-mgt-response","[Gil_Bernabeu]"
"application","vnd.gmx - DEPRECATED","[Christian_V._Sciberras]"
"application","vnd.google-earth.kml+xml","[Michael_Ashbridge]"
"application","vnd.google-earth.kmz","[Michael_Ashbridge]"
"application","vnd.gov.sk.e-form+xml","[Peter_Biro][Stefan_Szilva]"
"application","vnd.gov.sk.e-form+zip","[Peter_Biro][Stefan_Szilva]"
"application","vnd.grafeq","[Jeff_Tupper]"
"application","vnd.gridmp","[Jeff_Lawson]"
"application","vnd.groove-account","[Todd_Joseph]"
"application","vnd.groove-help","[Todd_Joseph]"
"application","vnd.groove-identity-message","[Todd_Joseph]"
"application","vnd.groove-injector","[Todd_Joseph]"
"application","vnd.groove-tool-message","[Todd_Joseph]"
"application","vnd.groove-tool-template","[Todd_Joseph]"
"application","vnd.groove-vcard","[Todd_Joseph]"
"application","vnd.hal+json","[Mike_Kelly]"
